Local,Puntos,Visitante,year
France ,France , Mexico,1930
Argentina ,Argentina , France,1930
Chile ,Chile , Mexico,1930
Chile ,Chile , France,1930
Argentina ,Argentina , Mexico,1930
Argentina ,Argentina , Chile,1930
Yugoslavia ,Yugoslavia , Brazil,1930
Yugoslavia ,Yugoslavia , Bolivia,1930
Brazil ,Brazil , Bolivia,1930
Romania ,Romania , Peru,1930
Uruguay ,Uruguay , Peru,1930
Uruguay ,Uruguay , Romania,1930
United States ,United States , Belgium,1930
United States ,United States , Paraguay,1930
Paraguay ,Paraguay , Belgium,1930
Argentina ,Argentina , United States,1930
Uruguay ,Uruguay , Yugoslavia,1930
Uruguay ,Uruguay , Argentina,1930
Spain ,Spain , Brazil,1934
Hungary ,Hungary , Egypt,1934
Switzerland ,Switzerland , Netherlands,1934
Italy ,Italy , United States,1934
Czechoslovakia ,Czechoslovakia , Romania,1934
Sweden ,Sweden , Argentina,1934
Austria ,Austria , France,1934
Germany ,Germany , Belgium,1934
Austria ,Austria , Hungary,1934
Italy ,Italy , Spain,1934
Germany ,Germany , Sweden,1934
Czechoslovakia ,Czechoslovakia ,  Switzerland,1934
Italy ,Italy , Spain,1934
Italy ,Italy , Austria,1934
Czechoslovakia ,Czechoslovakia , Germany,1934
Germany ,Germany , Austria,1934
Italy ,Italy , Czechoslovakia,1934
Switzerland ,Switzerland , Germany,1938
Hungary ,Hungary , Dutch East Indies,1938
Sweden ,Sweden , Austria,1938
Cuba ,Cuba , Romania,1938
France ,France , Belgium,1938
Italy ,Italy , Norway,1938
Brazil ,Brazil , Poland,1938
Czechoslovakia ,Czechoslovakia , Netherlands,1938
Switzerland ,Switzerland , Germany,1938
Cuba ,Cuba , Romania,1938
Hungary ,Hungary ,  Switzerland,1938
Sweden ,Sweden , Cuba,1938
Italy ,Italy , France,1938
Brazil ,Brazil , Czechoslovakia,1938
Brazil ,Brazil , Czechoslovakia,1938
Hungary ,Hungary , Sweden,1938
Italy ,Italy , Brazil,1938
Brazil ,Brazil , Sweden,1938
Italy ,Italy , Hungary,1938
Brazil ,Brazil , Mexico,1950
Yugoslavia ,Yugoslavia ,  Switzerland,1950
Brazil ,Brazil ,  Switzerland,1950
Yugoslavia ,Yugoslavia , Mexico,1950
Brazil ,Brazil , Yugoslavia,1950
Switzerland ,Switzerland , Mexico,1950
England ,England , Chile,1950
Spain ,Spain , United States,1950
Spain ,Spain , Chile,1950
United States ,United States , England,1950
Spain ,Spain , England,1950
Chile ,Chile , United States,1950
Sweden ,Sweden , Italy,1950
Sweden ,Sweden , Paraguay,1950
Italy ,Italy , Paraguay,1950
Uruguay ,Uruguay , Bolivia,1950
Uruguay ,Uruguay , Spain,1950
Brazil ,Brazil , Sweden,1950
Brazil ,Brazil , Spain,1950
Uruguay ,Uruguay , Sweden,1950
Sweden ,Sweden , Spain,1950
Uruguay ,Uruguay , Brazil,1950
Brazil ,Brazil , Mexico,1954
Yugoslavia ,Yugoslavia , France,1954
Brazil ,Brazil , Yugoslavia,1954
France ,France , Mexico,1954
West Germany ,West Germany , Turkey,1954
Hungary ,Hungary , South Korea,1954
Hungary ,Hungary , West Germany,1954
Turkey ,Turkey , South Korea,1954
West Germany ,West Germany , Turkey,1954
Uruguay ,Uruguay , Czechoslovakia,1954
Austria ,Austria , Scotland,1954
Uruguay ,Uruguay , Scotland,1954
Austria ,Austria , Czechoslovakia,1954
Switzerland ,Switzerland , Italy,1954
England ,England , Belgium,1954
Italy ,Italy , Belgium,1954
England ,England ,  Switzerland,1954
Switzerland ,Switzerland , Italy,1954
Austria ,Austria ,  Switzerland,1954
Uruguay ,Uruguay , England,1954
West Germany ,West Germany , Yugoslavia,1954
Hungary ,Hungary , Brazil,1954
West Germany ,West Germany , Austria,1954
Hungary ,Hungary , Uruguay,1954
Austria ,Austria , Uruguay,1954
West Germany ,West Germany , Hungary,1954
Argentina ,Argentina , West Germany,1958
Northern Ireland ,Northern Ireland , Czechoslovakia,1958
West Germany ,West Germany , Czechoslovakia,1958
Argentina ,Argentina , Northern Ireland,1958
West Germany ,West Germany , Northern Ireland,1958
Czechoslovakia ,Czechoslovakia , Argentina,1958
Northern Ireland ,Northern Ireland , Czechoslovakia,1958
France ,France , Paraguay,1958
Yugoslavia ,Yugoslavia , Scotland,1958
Yugoslavia ,Yugoslavia , France,1958
Paraguay ,Paraguay , Scotland,1958
France ,France , Scotland,1958
Paraguay ,Paraguay , Yugoslavia,1958
Sweden ,Sweden , Mexico,1958
Hungary ,Hungary , Wales,1958
Mexico ,Mexico , Wales,1958
Sweden ,Sweden , Hungary,1958
Sweden ,Sweden , Wales,1958
Hungary ,Hungary , Mexico,1958
Wales ,Wales , Hungary,1958
Brazil ,Brazil , Austria,1958
Soviet Union ,Soviet Union , England,1958
Brazil ,Brazil , England,1958
Soviet Union ,Soviet Union , Austria,1958
England ,England , Austria,1958
Brazil ,Brazil , Soviet Union,1958
Soviet Union ,Soviet Union , England,1958
Brazil ,Brazil , Wales,1958
France ,France , Northern Ireland,1958
Sweden ,Sweden , Soviet Union,1958
West Germany ,West Germany , Yugoslavia,1958
Brazil ,Brazil , France,1958
Sweden ,Sweden , West Germany,1958
France ,France , West Germany,1958
Brazil ,Brazil , Sweden,1958
Uruguay ,Uruguay , Colombia,1962
Soviet Union ,Soviet Union , Yugoslavia,1962
Yugoslavia ,Yugoslavia , Uruguay,1962
Soviet Union ,Soviet Union , Colombia,1962
Soviet Union ,Soviet Union , Uruguay,1962
Yugoslavia ,Yugoslavia , Colombia,1962
Chile ,Chile ,  Switzerland,1962
West Germany ,West Germany , Italy,1962
Chile ,Chile , Italy,1962
West Germany ,West Germany ,  Switzerland,1962
West Germany ,West Germany , Chile,1962
Italy ,Italy ,  Switzerland,1962
Brazil ,Brazil , Mexico,1962
